DATE,DR/CR,PARTICULARS,NARRATION,M # & CHQ #,VR #,DEBIT(RS.),CREDIT(RS.)
44746,DR,Cash Withdrawal,Staff Salaries for the m/o June 2022,70615762,ABL-54-BPV-1,747000,
44746,CR,Bank ABL A/C # 54,Staff Salaries for the m/o June 2022,70615762,ABL-54-BPV-1,,747000
44746,DR,Cash Withdrawal,Petty Cash for the m/o July 2022,70615763,ABL-54-BPV-2,100000,
44746,CR,Bank ABL A/C # 54,Petty Cash for the m/o July 2022,70615763,ABL-54-BPV-2,,100000
44746,DR,Legal and Professional,Salary of Professional Consultant for the m/o June 2022,70615764,ABL-54-BPV-3,20000,
44746,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o June 2022,70615764,ABL-54-BPV-3,,20000
44746,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o June 2022,70615766,ABL-54-BPV-4,9000,
44746,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o June 2022,70615766,ABL-54-BPV-4,,9000
44746,DR,Legal and Professional,Salary of Legal Advisor for the m/o June 2022,70615765,ABL-54-BPV-5,20000,
44746,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o June 2022,70615765,ABL-54-BPV-5,,20000
44748,DR,Development Expenditure,112th running bill paid to M/s Nevcon Constructor of Road Works at phase-2,70615760,ABL-54-BPV-6,1937545,
44748,CR,Bank ABL A/C # 54,112th running bill paid to M/s Nevcon Constructor of Road Works at phase-2,70615760,ABL-54-BPV-6,,1937545
44749,DR,Advance to Staff,Advance paid to Muhammad Imran (Driver),70615768,ABL-54-BPV-7,50000,
44749,CR,Bank ABL A/C # 54,Advance paid to Muhammad Imran (Driver),70615768,ABL-54-BPV-7,,50000
44749,DR,TA DA,Paid to Abdul Waheed & Co. for the Financial year Audit 30-06-2021,70615767,ABL-54-BPV-8,120000,
44749,CR,Bank ABL A/C # 54,Paid to Abdul Waheed & Co. for the Financial year Audit 30-06-2021,70615767,ABL-54-BPV-8,,120000
44749,DR,Development Expenditure,Tax Deduction of 112th running bill paid to M/s Nevcon Constructor of Road Works at phase-2,70615761,ABL-54-BPV-9,157098,
44749,CR,Bank ABL A/C # 54,Tax Deduction of 112th running bill paid to M/s Nevcon Constructor of Road Works at phase-2,70615761,ABL-54-BPV-9,,157098
44749,DR,Bank Charges,Bank Charges,,ABL-54-BPV-10,288,
44749,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-10,,288
44749,DR,Bank Charges,Bank Charges,,ABL-54-BPV-11,1800,
44749,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-11,,1800
44761,DR,Demarcation Expense,"Paid for Plot No. 136-B, 164-C, 176-C etc. at phase-2",70615775,ABL-54-BPV-12,9000,
44761,CR,Bank ABL A/C # 54,"Paid for Plot No. 136-B, 164-C, 176-C etc. at phase-2",70615775,ABL-54-BPV-12,,9000
44761,DR,Water and Electricity Expense,"Paid for digging bore, hole & water supply connections including labour charges of plot no. 190-A, 39-B etc. at phase-2",70615774,ABL-54-BPV-13,17500,
44761,CR,Bank ABL A/C # 54,"Paid for digging bore, hole & water supply connections including labour charges of plot no. 190-A, 39-B etc. at phase-2",70615774,ABL-54-BPV-13,,17500
44761,DR,Advertisement,Paid to Daily Ausaf for publishing Ad for the International Cooperative Day on 02-07-2022,70869171,ABL-54-BPV-14,20000,
44761,CR,Bank ABL A/C # 54,Paid to Daily Ausaf for publishing Ad for the International Cooperative Day on 02-07-2022,70869171,ABL-54-BPV-14,,20000
44761,DR,Utility Bills,Electricity Bill (office) for the m/o June 2022,70615770,ABL-54-BPV-15,41963,
44761,CR,Bank ABL A/C # 54,Electricity Bill (office) for the m/o June 2022,70615770,ABL-54-BPV-15,,41963
44761,DR,Utility Bills,"Water, Sewerage/drainage  (Office) bill for the period of 28-05-2022 to 28-06-2022",70615769,ABL-54-BPV-16,1380,
44761,CR,Bank ABL A/C # 54,"Water, Sewerage/drainage  (Office) bill for the period of 28-05-2022 to 28-06-2022",70615769,ABL-54-BPV-16,,1380
44761,DR,Water and Electricity Expense,Different Bills paid to for the purchase and supply of different electric items for the upgradation of electric works in Block C at phase-2,70615772,ABL-54-BPV-17,38617,
44761,CR,Bank ABL A/C # 54,Different Bills paid to for the purchase and supply of different electric items for the upgradation of electric works in Block C at phase-2,70615772,ABL-54-BPV-17,,38617
44761,DR,Water and Electricity Expense,Different Sanitary & Electric items etc. including labour charges for the upgradatoin of sanitation & electric works at phase-2,70615773,ABL-54-BPV-18,36030,
44761,CR,Bank ABL A/C # 54,Different Sanitary & Electric items etc. including labour charges for the upgradatoin of sanitation & electric works at phase-2,70615773,ABL-54-BPV-18,,36030
44761,DR,Utility Bills,Telephone Bill for the m/o June 2022,70869172,ABL-54-BPV-19,5676,
44761,DR,Advance Tax,Telephone Bill for the m/o June 2022,70869172,ABL-54-BPV-19,554,
44761,CR,Bank ABL A/C # 54,Telephone Bill for the m/o June 2022,70869172,ABL-54-BPV-19,,6230
44761,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 500 Mtrs cable and 1-coil cable for the upgradation of electric works at phase-2,70615771,ABL-54-BPV-20,49600,
44761,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 500 Mtrs cable and 1-coil cable for the upgradation of electric works at phase-2,70615771,ABL-54-BPV-20,,49600
44763,DR,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869174,ABL-54-BPV-21,200000,
44763,CR,Bank ABL A/C # 54,Cash withdraw for Electricity Bill Site at phase-2,70869174,ABL-54-BPV-21,,200000
44764,DR,Audit Fee,Audit Fee paid to M/s Abdul Waheed & Co. for conducting the Audit for the financial year 30-06-2021,70869173,ABL-54-BPV-22,250000,
44764,CR,Bank ABL A/C # 54,Audit Fee paid to M/s Abdul Waheed & Co. for conducting the Audit for the financial year 30-06-2021,70869173,ABL-54-BPV-22,,250000
44772,DR,Advance Tax,Advance Tax,,ABL-54-BPV-23,817,
44772,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-23,,817
44777,DR,Utility Bills,Sui Gas Bill for the m/o June 2022,70869175,ABL-54-BPV-24,250,
44777,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o June 2022,70869175,ABL-54-BPV-24,,250
44777,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 30 ft cable for the upgradation of electric works at phase-2,70869181,ABL-54-BPV-25,54800,
44777,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 30 ft cable for the upgradation of electric works at phase-2,70869181,ABL-54-BPV-25,,54800
44778,DR,Legal and Professional,Salary of Professional Consultant for the m/o July 2022,70869179,ABL-54-BPV-26,20000,
44778,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o July 2022,70869179,ABL-54-BPV-26,,20000
44778,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o July 2022,70869180,ABL-54-BPV-27,9000,
44778,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o July 2022,70869180,ABL-54-BPV-27,,9000
44778,DR,Legal and Professional,Salary of Legal Advisor for the m/o July 2022,70869178,ABL-54-BPV-28,20000,
44778,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o July 2022,70869178,ABL-54-BPV-28,,20000
44778,DR,Cash Withdrawal,Staff Salaries for the m/o July 2022,70869176,ABL-54-BPV-29,742000,
44778,CR,Bank ABL A/C # 54,Staff Salaries for the m/o July 2022,70869176,ABL-54-BPV-29,,742000
44778,DR,Cash Withdrawal,Petty Cash for the m/o August 2022,70869177,ABL-54-BPV-30,100000,
44778,CR,Bank ABL A/C # 54,Petty Cash for the m/o August 2022,70869177,ABL-54-BPV-30,,100000
44784,DR,Bank Charges,Bank Charges,,ABL-54-BPV-31,5,
44784,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-31,,5
44784,DR,Bank Charges,Bank Charges,,ABL-54-BPV-32,5,
44784,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-32,,5
44784,DR,Bank Charges,Bank Charges,,ABL-54-BPV-33,30,
44784,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-33,,30
44784,DR,Bank Charges,Bank Charges,,ABL-54-BPV-34,30,
44784,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-34,,30
44790,DR,Utility Bills,Electricity Bill (office) for the m/o July 2022,70869182,ABL-54-BPV-35,39345,
44790,CR,Bank ABL A/C # 54,Electricity Bill (office) for the m/o July 2022,70869182,ABL-54-BPV-35,,39345
44790,DR,Printing and Stationary,Purchase of Stationary for office use,70869185,ABL-54-BPV-36,14460,
44790,CR,Bank ABL A/C # 54,Purchase of Stationary for office use,70869185,ABL-54-BPV-36,,14460
44790,DR,Utility Bills,"Water, Sewerage/drainage  (Office) bill for the period of 28-06-2022 to 29-07-2022",70869183,ABL-54-BPV-37,1370,
44790,CR,Bank ABL A/C # 54,"Water, Sewerage/drainage  (Office) bill for the period of 28-06-2022 to 29-07-2022",70869183,ABL-54-BPV-37,,1370
44798,DR,Advertisement,Paid to RKH for the publication of an Ad for the awareness of Independence Day,70869184,ABL-54-BPV-38,30000,
44798,CR,Bank ABL A/C # 54,Paid to RKH for the publication of an Ad for the awareness of Independence Day,70869184,ABL-54-BPV-38,,30000
44798,DR,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869186,ABL-54-BPV-39,205000,
