DATE,HEAD OF ACCOUNT,PARTICULARS,CHQ#,VR#,DEBIT(RS.),CREDIT(RS.),BALANCE(RS.)
44746,Cash Withdrawal,Staff Salaries for the m/o June 2022,70615762,,747000,,748505
44746,Staff Salaries ,Staff Salaries for the m/o June 2022,,,,747000,1505
44746,Cash Withdrawal,Petty Cash for the m/o July 2022,70615763,,100000,,101505
44773,Office Expenditure,for the m/o July 2022,,,,35000,66505
44773,Vehicle Running and Maintenance,for the m/o July 2022,,,,60000,6505
44773,Site Expense,for the m/o July 2022,,,,3000,3505
44773,Newspaper Bill,for the m/o July 2022,,,,2000,1505
44763,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869174,,200000,,201505
44763,Utility Bills,Electricity Bill Paid ,,,,200000,1505
44778,Cash Withdrawal,Staff Salaries for the m/o July 2022,70869176,,742000,,743505
44778,Staff Salaries ,Staff Salaries for the m/o July 2022,,,,742000,1505
44778,Cash Withdrawal,Petty Cash for the m/o August 2022,70869177,,100000,,101505
44804,Office Expenditure,for the m/o August 2022,,,,35000,66505
44804,Vehicle Running and Maintenance,for the m/o August 2022,,,,60000,6505
44804,Site Expense,for the m/o August 2022,,,,3000,3505
44804,Newspaper Bill,for the m/o August 2022,,,,2000,1505
44798,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869186,,205000,,206505
44798,Utility Bills,Electricity Bill Paid ,,,,205000,1505
44805,Cash Withdrawal,Staff Salaries for the m/o August 2022,70869215,,742000,,743505
44805,Staff Salaries ,Staff Salaries for the m/o August 2022,,,,742000,1505
44805,Cash Withdrawal,Petty Cash for the m/o September 2022,70869216,,100000,,101505
44834,Office Expenditure,for the m/o September 2022,,,,35000,66505
44834,Vehicle Running and Maintenance,for the m/o September 2022,,,,60000,6505
44834,Site Expense,for the m/o September 2022,,,,3000,3505
44834,Newspaper Bill,for the m/o September 2022,,,,2000,1505
44826,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869228,,420000,,421505
44826,Utility Bills,Electricity Bill Paid ,,,,420000,1505
44838,Cash Withdrawal,Staff Salaries for the m/o September 2022,70869239,,763000,,764505
44838,Staff Salaries ,Staff Salaries for the m/o September 2022,,,,763000,1505
44846,Cash Withdrawal,For Petty Cash for the m/o October 2022,70869240,,150000,,151505
44865,Office Expenditure,for the m/o October 2022,,,,50000,101505
44865,Vehicle Running and Maintenance,for the m/o October 2022,,,,95000,6505
44865,Site Expense,for the m/o October 2022,,,,3000,3505
44865,Newspaper Bill,for the m/o October 2022,,,,2000,1505
44868,Cash Withdrawal,Staff Salaries for the m/o October 2022,70869254,,815000,,816505
44868,Staff Salaries ,Staff Salaries for the m/o October 2022,,,,815000,1505
44869,Cash Withdrawal,Petty Cash for the m/o November 2022,70869255,,155000,,156505
44895,Office Expenditure,for the m/o November 2022,,,,50000,106505
44895,Vehicle Running and Maintenance,for the m/o November 2022,,,,100000,6505
44895,Site Expense,for the m/o November 2022,,,,3000,3505
44895,Newspaper Bill,for the m/o November 2022,,,,2000,1505
44897,Cash Withdrawal,Staff Salaries for the m/o November 2022,72083399,,831000,,832505
44897,Staff Salaries ,Staff Salaries for the m/o November 2022,,,,831000,1505
44911,Cash Withdrawal,Petty Cash for the m/o December  2022,72083396,,155000,,156505
44926,Office Expenditure,for the m/o December 2022,,,,50000,106505
44926,Vehicle Running and Maintenance,for the m/o December 2022,,,,100000,6505
44926,Site Expense,for the m/o December 2022,,,,3000,3505
44926,Newspaper Bill,for the m/o December 2022,,,,2000,1505
44930,Cash Withdrawal,Staff Salaries for the m/o December 2022,72083404,,831000,,832505
44930,Staff Salaries ,Staff Salaries for the m/o December 2022,,,,831000,1505
44939,Cash Withdrawal,Petty Cash for the m/o January  2023,72083405,,155000,,156505
44957,Office Expenditure,for the m/o January 2023,,,,50000,106505
44957,Vehicle Running and Maintenance,for the m/o January 2023,,,,100000,6505
44957,Site Expense,for the m/o January 2023,,,,3000,3505
44957,Newspaper Bill,for the m/o January 2023,,,,2000,1505
44959,Cash Withdrawal,Staff Salaries for the m/o January 2023,72083434,,831000,,832505
44959,Staff Salaries ,Staff Salaries for the m/o January 2023,,,,831000,1505
44964,Cash Withdrawal,Petty Cash for the m/o Febuary  2023,72083435,,155000,,156505
44985,Office Expenditure,for the m/o February 2023,,,,50000,106505
44985,Vehicle Running and Maintenance,for the m/o February 2023,,,,100000,6505
44985,Site Expense,for the m/o February 2023,,,,3000,3505
44985,Newspaper Bill,for the m/o February 2023,,,,2000,1505
44986,Cash Withdrawal,Petty Cash for the m/o March  2023,72083457,,155000,,156505
45016,Office Expenditure,for the m/o March 2023,,,,50000,106505
45016,Vehicle Running and Maintenance,for the m/o March 2023,,,,100000,6505
45016,Site Expense,for the m/o March 2023,,,,3000,3505
45016,Newspaper Bill,for the m/o March 2023,,,,2000,1505
44986,Cash Withdrawal,Staff Salaries for the m/o February 2023,72083456,,836000,,837505
44986,Staff Salaries ,Staff Salaries for the m/o February 2023,,,,836000,1505
45019,Cash Withdrawal,Staff Salaries for the m/o March 2023,72083477,,825000,,826505
45019,Staff Salaries ,Staff Salaries for the m/o March 2023,,,,825000,1505
45022,Cash Withdrawal,Petty Cash for the m/o April 2023,72083473,,155000,,156505
45046,Office Expenditure,for the m/o April 2023,,,,50000,106505
45046,Vehicle Running and Maintenance,for the m/o April 2023,,,,100000,6505
45046,Site Expense,for the m/o April 2023,,,,3000,3505
45046,Newspaper Bill,for the m/o April 2023,,,,2000,1505
45051,Cash Withdrawal,Staff Salaries for the m/o April 2023,72083488,,825000,,826505
45051,Staff Salaries ,Staff Salaries for the m/o April 2023,,,,825000,1505
45055,Cash Withdrawal,Petty Cash for the m/o May 2023,72083489,,156000,,157505
45077,Office Expenditure,for the m/o May 2023,,,,50000,107505
45077,Vehicle Running and Maintenance,for the m/o May 2023,,,,100000,7505
45077,Site Expense,for the m/o May 2023,,,,3000,4505
45077,Newspaper Bill,for the m/o May 2023,,,,3000,1505
45079,Cash Withdrawal,Staff Salaries for the m/o May 2023,73177899,,840000,,841505
45079,Staff Salaries ,Staff Salaries for the m/o May 2023,,,,840000,1505
45084,Cash Withdrawal,Petty cash for the m/o June 2023,73177900,,156000,,157505
45107,Office Expenditure,for the m/o June 2023,,,,50000,107505
45107,Vehicle Running and Maintenance,for the m/o June 2023,,,,100000,7505
45107,Site Expense,for the m/o June 2023,,,,3000,4505
45107,Newspaper Bill,for the m/o June 2023,,,,2938,1567
